GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,Eqtl_type,Cell_resolution,Cell_name,Treatment,significant
foo2020,expression_subtype_Mono-cd14_COV,ENSG00000145335,358,8.152006298075795e-11,0.8965147741702469,3.7074441492244824e-12,0.040709745205262084,0.06277548053926162,0.1034852257445237,1.5420258766725798,1e-5,SNCA,expression,subtype,Mono-cd14,COV,Not_signif
foo2020,expression_subtype_Mono-cd14_COV,ENSG00000188906,928,9.706241509998964e-9,0.5533032370677041,4.463649344865616e-9,0.2542574039962459,0.19243934476616043,0.44669674876240634,0.7568682041959407,1e-5,LRRK2,expression,subtype,Mono-cd14,COV,Not_signif
foo2020,expression_subtype_Mono-cd14_IAV,ENSG00000145335,358,7.66069700899966e-11,0.8424831627805693,2.5113648047591278e-12,0.02748864098138048,0.1300281961589317,0.1575168371403122,4.730251897393063,1e-5,SNCA,expression,subtype,Mono-cd14,IAV,Not_signif
foo2020,expression_subtype_Mono-cd14_IAV,ENSG00000188906,928,1.3748219932027703e-8,0.7837157755113876,2.5561226996647967e-9,0.14564085193364118,0.07064335625062841,0.21628420818426958,0.4850517922184078,1e-5,LRRK2,expression,subtype,Mono-cd14,IAV,Not_signif
foo2020,expression_subtype_Mono-cd14_NS,ENSG00000145335,358,8.085288156926974e-11,0.8891774639354386,3.4406973360415208e-12,0.03776592292671331,0.07305661305355418,0.11082253598026749,1.9344585645457215,1e-5,SNCA,expression,subtype,Mono-cd14,NS,Not_signif
foo2020,expression_subtype_Mono-cd14_NS,ENSG00000188906,928,1.4287543008515628e-8,0.8144598285764874,1.8432146555962713e-9,0.104991701654856,0.08054845363789878,0.18554015529275478,0.7671887622384613,1e-5,LRRK2,expression,subtype,Mono-cd14,NS,Not_signif
foo2020,expression_subtype_Mono-cd14-infected_IAV,ENSG00000145335,358,7.965783371617049e-11,0.87603495622667,2.395493827791725e-12,0.026246662738524985,0.09771838095275157,0.12396504369127655,3.7230783176605544,1e-5,SNCA,expression,subtype,Mono-cd14-infected,IAV,Not_signif
foo2020,expression_subtype_Mono-cd14-infected_IAV,ENSG00000188906,928,1.3364777667485214e-8,0.761857691104424,1.2496661463019366e-9,0.07107000988489603,0.1670722843962356,0.23814229428113162,2.3508127361572546,1e-5,LRRK2,expression,subtype,Mono-cd14-infected,IAV,Not_signif
foo2020,expression_subtype_Mono-cd16_COV,ENSG00000145335,358,8.005029238685104e-11,0.8803510102586618,3.0647854740861348e-12,0.033618868485555946,0.08603012117266874,0.11964898965822468,2.5589832450675973,1e-5,SNCA,expression,subtype,Mono-cd16,COV,Not_signif
foo2020,expression_subtype_Mono-cd16_COV,ENSG00000188906,928,1.4326173412676001e-8,0.8166619505460622,1.341500178149283e-9,0.07636509818814789,0.10697293559811652,0.1833380337862644,1.4008092457965184,1e-5,LRRK2,expression,subtype,Mono-cd16,COV,Not_signif
foo2020,expression_subtype_Mono-cd16_IAV,ENSG00000145335,358,8.285763892364363e-11,0.9112247308425664,2.3410986061517747e-12,0.025683078892880934,0.06309219017935258,0.08877526907223351,2.4565664592823038,1e-5,SNCA,expression,subtype,Mono-cd16,IAV,Not_signif
foo2020,expression_subtype_Mono-cd16_IAV,ENSG00000188906,928,1.3234521505543512e-8,0.754432452820778,1.1057174076958425e-9,0.062848581096786,0.18271895174219743,0.24556753283898342,2.9072884153233725,1e-5,LRRK2,expression,subtype,Mono-cd16,IAV,Not_signif
foo2020,expression_subtype_Mono-cd16_NS,ENSG00000145335,358,6.536870483930953e-11,0.7188906327347666,7.419795530358265e-12,0.08139929845826714,0.19971006873417757,0.2811093671924447,2.4534617928748803,1e-5,SNCA,expression,subtype,Mono-cd16,NS,Not_signif
foo2020,expression_subtype_Mono-cd16_NS,ENSG00000188906,928,1.501671073088814e-8,0.8560259549435654,1.2103789496107025e-9,0.06892246825265977,0.0750515605766853,0.14397402882934507,1.088927348068226,1e-5,LRRK2,expression,subtype,Mono-cd16,NS,Not_signif
foo2020,expression_subtype_NK-CD56-bright_COV,ENSG00000145335,358,5.224804972240678e-11,0.5745965690528939,3.276412219403068e-11,0.360257436393636,0.06514599446845935,0.42540343086209537,0.18083178274015543,1e-5,SNCA,expression,subtype,NK-CD56-bright,COV,Not_signif
foo2020,expression_subtype_NK-CD56-bright_COV,ENSG00000188906,928,1.524406548107431e-8,0.8689862876440384,9.98482199387467e-10,0.05684419921527964,0.07416949689813271,0.13101369611341235,1.3047856759708922,1e-5,LRRK2,expression,subtype,NK-CD56-bright,COV,Not_signif
